,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,sepal_area,petal_area
0,1,5.1,3.5,1.4,0.2,1,17.849999999999998,0.27999999999999997
1,2,4.9,3.0,1.4,0.2,1,14.700000000000001,0.27999999999999997
2,3,4.7,3.2,1.3,0.2,1,15.040000000000001,0.26
3,4,4.6,3.1,1.5,0.2,1,14.26,0.30000000000000004
4,5,5.0,3.6,1.4,0.2,1,18.0,0.27999999999999997
5,6,5.4,3.9,1.7,0.4,1,21.060000000000002,0.68
6,7,4.6,3.4,1.4,0.3,1,15.639999999999999,0.42
7,8,5.0,3.4,1.5,0.2,1,17.0,0.30000000000000004
8,9,4.4,2.9,1.4,0.2,1,12.76,0.27999999999999997
9,10,4.9,3.1,1.5,0.1,1,15.190000000000001,0.15000000000000002
10,11,5.4,3.7,1.5,0.2,1,19.980000000000004,0.30000000000000004
11,12,4.8,3.4,1.6,0.2,1,16.32,0.32000000000000006
12,13,4.8,3.0,1.4,0.1,1,14.399999999999999,0.13999999999999999
13,14,4.3,3.0,1.1,0.1,1,12.899999999999999,0.11000000000000001
14,15,5.8,4.0,1.2,0.2,1,23.2,0.24
15,16,5.7,4.4,1.5,0.4,1,25.080000000000002,0.6000000000000001
16,17,5.4,3.9,1.3,0.4,1,21.060000000000002,0.52
17,18,5.1,3.5,1.4,0.3,1,17.849999999999998,0.42
18,19,5.7,3.8,1.7,0.3,1,21.66,0.51
19,20,5.1,3.8,1.5,0.3,1,19.38,0.44999999999999996
20,21,5.4,3.4,1.7,0.2,1,18.36,0.34
21,22,5.1,3.7,1.5,0.4,1,18.87,0.6000000000000001
22,23,4.6,3.6,1.0,0.2,1,16.56,0.2
23,24,5.1,3.3,1.7,0.5,1,16.83,0.85
24,25,4.8,3.4,1.9,0.2,1,16.32,0.38
25,26,5.0,3.0,1.6,0.2,1,15.0,0.32000000000000006
26,27,5.0,3.4,1.6,0.4,1,17.0,0.6400000000000001
27,28,5.2,3.5,1.5,0.2,1,18.2,0.30000000000000004
28,29,5.2,3.4,1.4,0.2,1,17.68,0.27999999999999997
29,30,4.7,3.2,1.6,0.2,1,15.040000000000001,0.32000000000000006
30,31,4.8,3.1,1.6,0.2,1,14.879999999999999,0.32000000000000006
31,32,5.4,3.4,1.5,0.4,1,18.36,0.6000000000000001
32,33,5.2,4.1,1.5,0.1,1,21.32,0.15000000000000002
33,34,5.5,4.2,1.4,0.2,1,23.1,0.27999999999999997
34,35,4.9,3.1,1.5,0.1,1,15.190000000000001,0.15000000000000002
35,36,5.0,3.2,1.2,0.2,1,16.0,0.24
